"word1","word2","n"
"trump","offers",26
"trump's","10th",26
"anti","american",25
"blames","mental",25
"breaking","news",25
"can’t","buy",25
"conservative","jews",25
"economy","trump",25
"ewerickson","gop",25
"flag","laws",25
"jon","voight",25
"kim","jong",25
"left","wing",25
"liberal","jews",25
"national","tv",25
"nazi","arrested",25
"purchasing","greenland",25
"rjc","gop",25
"sacrifice","gun",25
"shootings","health",25
"trade","wars",25
"trump","ads",25
"trump","neeratanden",25
"trump's","comments",25
"walshfreedom","trump",25
"watch","trump",25
"1","trump",24
"aoc","ilhanmn",24
"capital","gains",24
"china","tariffs",24
"dem","party",24
"discuss","selling",24
"domestic","terrorism",24
"economic","data",24
"expense","report",24
"flip","stuns",24
"gop","hogangidley45",24
"head","spinning",24
"helping","trump",24
"it’s","trump",24
"jabs","trump",24
"lol","trump",24
"manipulated","millions",24
"million","people",24
"national","security",24
"press","conference",24
"spinning","flip",24
"stayed","home",24
"stuns","anderson",24
"trump","he’s",24
"trump","returns",24
"trump's","reelection",24
"vast","majority",24
"voting","trump",24
"win","2020",24
"100","million",23
"3","million",23
"bad","trump",23
"china","trade",23
"dbongino","trump",23
"dem","candidate",23
"democratic","candidate",23
"don’t","understand",23
"electing","trump",23
"elizabeth","warren",23
"fast","tracking",23
"gun","laws",23
"gun","reform",23
"hates","trump",23
"israel","amp",23
"maga","trump",23
"million","american",23
"narendra","modi",23
"news","poll",23
"nra","realdonaldtrump",23
"pollak","trump",23
"shep","smith",23
"social","security",23
"stop","fast",23
"telling","conservative",23
"temper","tantrum",23
"told","liberal",23
"truckers","voted",23
"true","trump",23
"trump","considers",23
"trump","lol",23
"trump","won’t",23
"u.s","jobs",23
"voted","trump",23
"background","check",22
"bless","president",22
"calling","trump",22
"campaign","ad",22
"civil","rights",22
"cnn","chriscuomo",22
"democratic","voters",22
"disloyaltotrump","trump",22
"don’t","vote",22
"free","speech",22
"greenland","spat",22
"gt","gt",22
"hate","crimes",22
"jewish","democrat",22
"jon","mcnaughton",22
"million","votes",22
"neera","tanden",22
"nina","turner",22
"obama","economy",22
"obama","trump",22
"paul","ryan",22
"piper","strategy",22
"rashidatlaib","ayannapressley",22
"realdonaldtrump","yeah",22
"sanders","jabs",22
"scaramucci","potus",22
"stay","home",22
"table","report",22
"trump","gopchairwoman",22
"trump","haters",22
"trump","people",22
"trump","talks",22
"trump","tweeted",22
"trump's","tariffs",22
"twitter","users",22
"amp","8217",21
